,c1,c2,c3,c4,c5
390,44,18,45,55.0,0.0
391,3,45,6,38.0,48.0
392,40,8,45,62.0,31.0
393,2,21,9,66.0,27.0
394,13,70,7,45.0,26.0
395,51,18,17,38.0,9.0
396,60,6,66,61.0,65.0
397,52,33,21,45.0,8.0
398,6,42,66,17.0,33.0
399,68,70,27,49.0,13.0
400,27,63,33,1.0,73.0
401,66,56,28,9.0,43.0
402,48,31,57,51.0,2.0
403,16,32,22,33.0,29.0
404,36,33,42,3.0,21.0
405,53,51,2,72.0,55.0
406,62,35,65,17.0,28.0
407,13,52,8,33.0,61.0
408,66,45,33,35.0,12.0
409,51,4,18,68.0,60.0
410,23,36,51,72.0,53.0
411,33,69,50,70.0,68.0
412,38,53,29,45.0,62.0
413,33,40,39,66.0,4.0
414,21,22,34,12.0,55.0
415,1,8,21,34.0,68.0
416,62,21,18,69.0,58.0
417,35,22,17,50.0,33.0
418,66,65,4,10.0,59.0
419,13,64,59,21.0,70.0
420,13,38,45,33.0,3.0
421,51,49,22,38.0,68.0
422,17,68,35,57.0,27.0
423,13,24,43,29.0,42.0
424,53,41,1,51.0,49.0
425,3,26,53,52.0,71.0
426,24,36,57,4.0,34.0
427,24,68,66,62.0,3.0
428,44,66,49,72.0,17.0
429,8,62,53,72.0,2.0
430,51,33,31,14.0,32.0
431,72,44,28,41.0,47.0
432,2,67,28,16.0,33.0
433,31,62,57,37.0,55.0
434,30,11,45,4.0,9.0
435,49,64,38,17.0,63.0
436,26,67,53,33.0,0.0
437,11,58,70,10.0,3.0
438,20,33,61,62.0,0.0
439,66,70,42,17.0,48.0
440,51,14,26,37.0,4.0
441,5,63,49,68.0,12.0
442,62,7,1,30.0,68.0
443,63,8,18,9.0,33.0
444,1,8,33,21.0,9.0
445,23,63,45,17.0,53.0
446,33,5,40,70.0,27.0
447,1,34,5,49.0,12.0
448,40,51,38,42.0,11.0
449,66,24,60,61.0,10.0
450,56,46,17,4.0,19.0
451,8,22,51,9.0,18.0
452,50,46,42,57.0,12.0
453,62,19,9,59.0,26.0
454,13,40,49,64.0,4.0
455,57,42,34,11.0,12.0
456,72,53,62,41.0,42.0
457,5,44,51,18.0,28.0
458,38,72,51,41.0,45.0
459,21,63,70,45.0,34.0
460,45,63,5,42.0,3.0
461,24,34,66,60.0,2.0
462,38,54,21,28.0,33.0
463,11,57,28,37.0,53.0
464,9,12,33,46.0,38.0
465,6,13,1,5.0,42.0
466,51,35,7,56.0,36.0
467,52,57,3,38.0,34.0
468,13,64,42,8.0,17.0
469,57,11,28,18.0,60.0
470,57,15,2,29.0,33.0
471,63,55,1,33.0,61.0
472,56,69,38,3.0,25.0
473,33,57,28,38.0,0.0
474,17,33,51,70.0,59.0
475,47,27,72,7.0,0.0
476,30,28,66,53.0,18.0
477,58,62,24,28.0,71.0
478,40,4,45,55.0,2.0
479,52,6,26,57.0,33.0
480,22,62,46,63.0,7.0
481,17,66,69,3.0,70.0
482,21,56,5,3.0,69.0
483,35,70,18,46.0,3.0
484,3,21,47,57.0,14.0
485,48,25,7,17.0,68.0
486,64,30,62,42.0,7.0
487,3,7,21,13.0,58.0
488,36,42,37,62.0,55.0
489,61,36,70,62.0,49.0
490,47,57,66,8.0,33.0
491,68,28,36,62.0,70.0
492,17,33,48,55.0,5.0
493,56,57,55,54.0,14.0
494,53,8,62,2.0,7.0
495,62,8,46,63.0,27.0
496,49,5,44,1.0,66.0
497,71,1,69,42.0,5.0
498,68,8,3,7.0,5.0
499,57,58,12,35.0,33.0
500,6,23,37,2.0,15.0
501,34,51,8,25.0,72.0
502,29,63,40,68.0,57.0
503,18,36,62,68.0,60.0
504,69,26,57,68.0,6.0
505,23,52,47,18.0,69.0
506,32,53,57,16.0,67.0
507,42,13,47,35.0,17.0
508,69,33,34,48.0,70.0
509,57,48,7,53.0,29.0
510,53,17,30,69.0,6.0
511,14,2,5,8.0,54.0
512,51,66,45,69.0,49.0
513,42,66,47,59.0,31.0
514,57,64,52,2.0,48.0
515,36,72,6,1.0,37.0
516,45,25,66,44.0,33.0
517,2,48,5,60.0,62.0
518,2,8,61,15.0,11.0
519,62,7,40,25.0,44.0
520,68,48,40,33.0,4.0
521,48,66,33,45.0,21.0
522,2,48,57,7.0,69.0
523,8,45,61,48.0,31.0
524,25,61,68,48.0,69.0
525,31,33,61,4.0,68.0
526,55,35,51,53.0,2.0
527,36,55,34,2.0,12.0
528,68,48,8,2.0,31.0
529,17,28,57,21.0,34.0
530,36,33,66,22.0,70.0
531,7,13,25,8.0,33.0
532,8,18,32,47.0,33.0
533,42,28,48,4.0,2.0
534,57,48,2,8.0,60.0
535,1,5,55,68.0,2.0
536,36,17,9,18.0,70.0
537,21,45,26,16.0,2.0
538,62,68,48,38.0,24.0
539,45,42,36,57.0,37.0
540,48,57,28,68.0,11.0
541,19,27,48,62.0,33.0
542,11,43,36,2.0,65.0
543,70,2,48,22.0,21.0
544,35,3,48,6.0,2.0
545,40,38,36,68.0,24.0
546,17,6,46,35.0,49.0
547,16,57,28,2.0,44.0
548,46,8,32,33.0,26.0
549,57,24,29,4.0,18.0
550,26,8,57,6.0,60.0
551,27,48,17,24.0,4.0
552,5,49,17,38.0,7.0
553,12,2,48,62.0,57.0
554,66,33,29,22.0,16.0
555,37,70,34,55.0,30.0
556,66,33,7,26.0,63.0
557,4,32,33,68.0,1.0
558,33,14,8,39.0,41.0
559,53,36,11,42.0,43.0
560,36,35,34,49.0,62.0
561,3,21,46,53.0,13.0
562,33,26,28,11.0,71.0
563,46,28,3,47.0,11.0
564,65,36,17,69.0,62.0
565,51,23,44,9.0,57.0
566,56,41,32,46.0,28.0
567,45,8,40,6.0,28.0
568,35,45,33,71.0,21.0
569,38,13,33,72.0,7.0
570,49,48,51,36.0,46.0
571,33,36,57,28.0,4.0
572,49,8,60,57.0,14.0
573,57,67,45,28.0,37.0
574,65,44,7,62.0,36.0
575,23,45,66,36.0,49.0
576,42,51,1,17.0,19.0
577,63,38,14,49.0,21.0
578,57,45,24,4.0,19.0
579,36,55,51,2.0,37.0
580,33,8,34,57.0,5.0
581,69,60,42,35.0,67.0
582,9,49,21,11.0,67.0
583,69,33,4,18.0,55.0
584,13,62,49,3.0,1.0
585,53,62,48,33.0,5.0
586,1,13,24,39.0,5.0
587,70,51,57,64.0,33.0
588,39,36,57,9.0,14.0
589,8,4,45,72.0,12.0
590,11,49,69,40.0,4.0
591,69,47,61,48.0,39.0
592,12,1,42,39.0,70.0
593,5,18,45,57.0,48.0
594,10,2,55,14.0,3.0
595,54,21,4,45.0,46.0
596,62,48,4,61.0,33.0
597,13,48,33,70.0,1.0
598,35,48,66,1.0,34.0
599,67,33,61,52.0,43.0
600,62,47,53,8.0,17.0
601,1,30,38,51.0,68.0
602,68,9,26,62.0,4.0
603,57,48,55,49.0,68.0
604,56,16,72,25.0,27.0
605,7,26,2,5.0,4.0
606,68,23,1,53.0,13.0
607,60,5,44,35.0,68.0
608,35,26,57,28.0,53.0
609,33,13,16,42.0,52.0
610,62,42,57,30.0,45.0
611,34,48,21,31.0,53.0
612,8,42,66,52.0,11.0
613,2,60,62,57.0,24.0
614,25,49,36,22.0,8.0
615,3,7,17,35.0,47.0
616,57,34,47,55.0,22.0
617,5,21,34,38.0,62.0
618,57,6,36,45.0,33.0
619,44,57,48,33.0,17.0
620,13,7,26,28.0,35.0
621,30,60,5,48.0,24.0
622,31,2,13,8.0,62.0
623,37,38,71,53.0,27.0
624,48,66,60,53.0,23.0
625,17,14,8,25.0,63.0
626,62,68,14,38.0,27.0
627,8,36,60,45.0,24.0
628,3,41,5,2.0,72.0
629,13,62,30,49.0,42.0
630,40,51,59,57.0,37.0
631,12,3,51,28.0,15.0
632,14,63,40,66.0,69.0
633,5,34,21,28.0,65.0
634,67,55,42,34.0,57.0
635,1,17,66,35.0,61.0
636,33,29,57,37.0,13.0
637,43,13,31,33.0,0.0
638,36,62,70,33.0,14.0
639,6,8,61,35.0,4.0
640,51,34,68,17.0,23.0
641,9,19,48,54.0,72.0
642,55,48,56,54.0,38.0
643,69,42,55,36.0,41.0
644,15,73,13,56.0,18.0
645,8,22,61,66.0,31.0
646,67,28,62,42.0,17.0
647,33,16,60,19.0,2.0
648,17,40,53,51.0,4.0
649,36,2,64,38.0,62.0
650,13,70,7,45.0,26.0
651,22,56,51,72.0,57.0
652,59,56,45,21.0,57.0
653,62,47,18,49.0,1.0
654,2,41,34,47.0,4.0
655,57,62,10,49.0,68.0
656,51,4,18,68.0,60.0
657,36,56,65,62.0,21.0
658,18,2,27,19.0,48.0
659,41,38,68,62.0,14.0
660,50,60,34,47.0,7.0
661,71,47,51,9.0,10.0
662,35,62,42,29.0,24.0
663,72,68,63,70.0,0.0
664,16,30,40,33.0,36.0
665,51,7,68,29.0,55.0
666,37,54,51,46.0,21.0
667,54,4,53,34.0,41.0
668,68,59,48,60.0,23.0
669,57,20,13,67.0,62.0
670,51,71,13,6.0,42.0
671,25,57,66,14.0,44.0
672,39,52,47,41.0,73.0
673,35,19,14,7.0,21.0
674,1,14,8,71.0,21.0
675,33,38,48,13.0,54.0
676,62,57,70,36.0,33.0
677,42,28,57,13.0,32.0
678,7,57,13,52.0,62.0
679,47,57,13,4.0,24.0
680,39,27,44,4.0,53.0
681,66,57,47,64.0,17.0
682,50,31,71,33.0,37.0
683,59,53,42,55.0,21.0
684,27,59,41,55.0,37.0
685,73,71,33,35.0,26.0
686,71,6,39,17.0,57.0
687,8,49,65,30.0,51.0
688,60,26,8,5.0,32.0
689,22,62,1,53.0,4.0
690,26,2,21,5.0,6.0
691,44,32,4,36.0,17.0
692,33,27,5,7.0,70.0
693,60,67,41,32.0,61.0
694,52,44,6,35.0,37.0
695,51,35,33,41.0,1.0
696,70,51,26,57.0,3.0
697,51,57,31,27.0,41.0
698,21,28,58,31.0,38.0
699,29,35,8,51.0,57.0
700,28,10,21,51.0,9.0
701,31,51,62,67.0,17.0
702,58,69,35,61.0,13.0
703,53,6,32,60.0,38.0
704,60,4,14,32.0,13.0
705,9,68,70,12.0,19.0
706,1,8,51,17.0,12.0
707,34,62,21,33.0,63.0
708,26,20,51,69.0,21.0
709,53,57,6,62.0,69.0
710,61,62,28,47.0,64.0
711,42,13,47,35.0,17.0
712,69,33,34,48.0,70.0
713,57,48,7,53.0,29.0
714,62,51,40,47.0,61.0
715,26,59,21,36.0,24.0
716,4,48,66,26.0,33.0
717,40,30,16,48.0,53.0
718,71,54,68,48.0,35.0
719,66,65,17,33.0,32.0
720,14,59,51,6.0,73.0
721,2,35,53,36.0,41.0
722,9,52,34,57.0,39.0
723,3,49,5,39.0,70.0
724,17,66,7,26.0,73.0
725,49,59,69,43.0,57.0
726,42,47,36,3.0,73.0
727,65,48,1,42.0,4.0
728,13,27,8,61.0,9.0
729,43,61,71,52.0,5.0
730,47,69,38,33.0,19.0
731,40,16,10,27.0,33.0
732,61,57,68,21.0,29.0
733,47,71,73,31.0,2.0
734,23,21,59,17.0,68.0
735,18,62,59,13.0,2.0
736,17,33,8,62.0,60.0
737,35,2,29,59.0,13.0
738,37,53,47,30.0,57.0
739,43,21,7,47.0,40.0
740,42,66,47,59.0,31.0
741,3,68,17,13.0,66.0
742,66,59,7,18.0,33.0
743,2,59,44,13.0,43.0
744,45,47,25,72.0,5.0
745,68,1,33,62.0,55.0
746,50,69,21,70.0,59.0
747,54,71,13,6.0,21.0
748,70,47,59,54.0,13.0
749,41,47,31,59.0,13.0
750,58,5,57,17.0,9.0
751,4,12,13,37.0,18.0
752,49,5,57,42.0,51.0
753,38,47,59,5.0,17.0
754,9,21,70,47.0,60.0
755,13,21,41,71.0,27.0
756,62,2,4,48.0,47.0
757,57,3,59,8.0,33.0
758,57,68,70,1.0,33.0
759,26,62,22,23.0,56.0
760,4,13,62,71.0,27.0
761,62,49,57,21.0,56.0
762,41,72,47,59.0,51.0
763,31,47,21,8.0,71.0
764,47,48,59,31.0,25.0
765,47,59,25,4.0,17.0
766,1,57,13,71.0,51.0
767,5,47,55,26.0,33.0
768,53,5,59,60.0,43.0
769,2,31,57,18.0,8.0
770,33,38,59,57.0,52.0
771,47,59,45,38.0,39.0
772,5,59,65,70.0,55.0
773,47,51,29,2.0,66.0
774,47,59,40,13.0,28.0
775,55,26,13,8.0,59.0
776,13,28,59,6.0,41.0
777,38,46,66,44.0,29.0
778,31,21,47,71.0,6.0
779,13,8,71,36.0,3.0
780,44,43,47,4.0,56.0
781,63,1,40,48.0,60.0
782,66,72,18,34.0,57.0
783,15,3,52,64.0,57.0
784,18,57,53,3.0,54.0
785,8,21,26,33.0,3.0
786,71,60,35,26.0,51.0
787,63,7,53,55.0,66.0
788,43,3,57,59.0,2.0
789,70,56,46,3.0,30.0
790,63,33,11,18.0,60.0
791,28,51,39,18.0,60.0
792,53,42,17,38.0,62.0
793,5,6,40,42.0,28.0
794,5,37,45,62.0,59.0
795,59,49,69,55.0,45.0
796,71,45,38,69.0,61.0
797,43,71,21,29.0,46.0
798,46,13,1,44.0,62.0
799,2,55,18,12.0,21.0
800,45,3,5,18.0,51.0
801,22,68,5,9.0,62.0
802,51,23,44,9.0,57.0
803,52,16,47,32.0,61.0
804,35,45,33,71.0,21.0
805,48,18,62,46.0,45.0
806,57,42,71,18.0,26.0
807,35,18,72,57.0,43.0
808,33,36,57,28.0,4.0
809,49,18,52,36.0,8.0
810,8,69,36,60.0,33.0
811,8,17,6,49.0,26.0
812,28,27,38,60.0,13.0
813,18,41,1,8.0,56.0
814,71,12,34,6.0,14.0
815,51,4,18,12.0,33.0
816,68,5,26,66.0,24.0
817,3,24,71,17.0,21.0
818,18,47,44,7.0,16.0
819,4,29,28,62.0,46.0
820,17,60,71,13.0,40.0
821,1,49,8,28.0,62.0
822,3,8,65,5.0,28.0
823,61,71,32,41.0,53.0
824,47,41,53,55.0,18.0
825,45,3,5,30.0,33.0
826,2,21,71,8.0,46.0
827,65,29,66,41.0,46.0
828,55,56,8,33.0,60.0
829,70,51,13,52.0,22.0
830,51,21,15,61.0,72.0
831,44,4,17,24.0,36.0
832,49,8,14,62.0,68.0
833,3,14,34,62.0,59.0
834,3,36,57,45.0,9.0
835,4,1,57,61.0,34.0
836,50,68,51,14.0,36.0
837,57,32,33,14.0,5.0
838,6,39,52,19.0,55.0
839,70,11,6,57.0,48.0
840,60,8,69,71.0,13.0
841,60,69,11,19.0,3.0
842,41,6,21,68.0,36.0
843,6,66,53,58.0,69.0
844,8,46,62,31.0,19.0
845,53,47,19,6.0,67.0
846,66,30,58,69.0,33.0
847,51,57,19,9.0,70.0
848,15,35,27,40.0,68.0
849,55,7,18,16.0,48.0
850,44,36,29,33.0,66.0
851,10,17,49,39.0,21.0
852,4,49,51,1.0,55.0
853,47,30,65,29.0,21.0
854,17,66,32,62.0,55.0
855,21,33,28,2.0,25.0
856,13,33,51,8.0,3.0
857,20,22,62,51.0,14.0
858,51,2,46,5.0,69.0
859,12,49,38,32.0,4.0
860,18,55,13,44.0,40.0
861,33,26,51,8.0,11.0
862,68,21,11,40.0,4.0
863,52,60,55,73.0,61.0
864,52,8,28,71.0,66.0
865,37,51,47,57.0,4.0
866,20,27,41,33.0,4.0
867,8,69,45,32.0,40.0
868,11,16,22,18.0,47.0
869,17,51,67,33.0,38.0
